File_Date,Country,Year,Month,Channel,Category,Partnership,NMV,Item,PV,ASP,CR,NC
2018-03-16,TH,2018,May,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Aug,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Feb,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Apr,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Dec,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Nov,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Sep,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jan,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jun,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Oct,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jul,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Mar,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
