vid,sid,date,transId,transPage,hitNo,sOrigin,sDes,sMarket,sld
3452231938752726861,1485940609,20170201,3sed2h,/vbook/actions/bookingconfirmation,35,akl,trg,domestic,172
3452285793363587690,1485861483,20170201,2asdyh,/vbook/actions/bookingconfirmation,74,akl,mel,tasman,87
3453054781479296723,1485933519,20170201,qqbabh,/vbook/actions/bookingconfirmation,87,akl,npl,domestic,37
3455044433534306015,1485921137,20170201,yeqt8h,/vbook/actions/bookingconfirmation,51,akl,zqn,domestic,63
3457127209348698139,1485901853,20170201,wwyk6h,/vbook/actions/mobi/purchasetickets,22,trg,chc,domestic,4
3462899937452289588,1485913458,20170201,fmehwh,/vbook/actions/bookingconfirmation,80,wlg,akl,domestic,36
3463976582674189419,1485900907,20170201,q82shh,/vbook/actions/mobi/review,8,akl,npe,domestic,6
3464220584047279555,1485896931,20170201,6gsmwh,/vbook/actions/bookingconfirmation,152,akl,nsn,domestic,63
3464370615858853923,1485928483,20170201,jel3uh,/vbook/actions/bookingconfirmation,73,chc,akl,domestic,9
3464603656482472115,1485934651,20170201,qqa5fh,/vbook/actions/bookingconfirmation,2,akl,pmr,domestic,69
3465373559400632970,1485891452,20170201,tucfbh,/vbook/actions/mobi/bookingconfirmation,1,wlg,akl,domestic,198
3465653166107862778,1485907695,20170201,auzgyh,/vbook/actions/mobi/bookingconfirmation,20,akl,dud,domestic,7
3466099189853465456,1485942314,20170201,umv54h,/vbook/actions/mobi/bookingconfirmation,12,wlg,akl,domestic,11
3467325020780767653,1485941319,20170201,gsvfhh,/vbook/actions/bookingconfirmation,98,akl,zqn,domestic,73
3467847129891387061,1485904876,20170201,en7y6h,/vbook/actions/bookingconfirmation,67,akl,zqn,domestic,4
3468463294485327974,1485903744,20170201,pi3pfh,/vbook/actions/bookingconfirmation,115,zqn,akl,domestic,6
3469123817489525306,1485894661,20170201,hij88h,/vbook/actions/bookingconfirmation,61,chc,npe,domestic,7
3469123817489525306,1485894661,20170201,e622uh,/vbook/actions/bookingconfirmation,106,chc,npe,domestic,11
3469123817489525306,1485894661,20170201,2duf4h,/vbook/actions/bookingconfirmation,170,chc,npe,domestic,12
3470474185250903080,1485892609,20170201,akbmuh,/vbook/actions/bookingconfirmation,52,akl,wlg,domestic,5
3470543286985159831,1485881508,20170201,tixfdh,/vbook/actions/bookingconfirmation,100,wlg,akl,domestic,44
3472331453671693919,1485935309,20170201,4pqbuh,/vbook/actions/bookingconfirmation,73,chc,hlz,domestic,1
3473191130037090688,1485915474,20170201,w4h8wh,/vbook/actions/bookingconfirmation,51,akl,gis,domestic,36
3473191130037090688,1485915474,20170201,fmvk2h,/vbook/actions/bookingconfirmation,103,akl,gis,domestic,37
3475491523137628713,1485941034,20170201,lryuuh,/vbook/actions/mobi/bookingconfirmation,1,hlz,ivc,domestic,325
3478074675384348130,1485898190,20170201,7k3dfh,/vbook/actions/bookingconfirmation,52,wlg,hkk,domestic,12
3478343304004091129,1485920018,20170201,78t68h,/vbook/actions/mobi/bookingconfirmation,15,wlg,dud,domestic,0
3480528149581905907,1485905513,20170201,aujv2h,/vbook/actions/bookingconfirmation,53,rot,akl,domestic,1
3480680754164310340,1485933882,20170201,lrhi6h,/vbook/actions/mobi/purchasetickets,22,apw,akl,pacific,3
3481116658986187135,1485896064,20170201,ilrlnh,/vbook/actions/bookingconfirmation,89,wlg,tbu,pacific,244
3483234807961210062,1485891969,20170201,2eagbh,/vbook/actions/bookingconfirmation,55,wlg,akl,domestic,52
3484634280151220698,1485899466,20170201,hi868h,/vbook/actions/bookingconfirmation,71,chc,akl,domestic,14
3484876658040692285,1485889442,20170201,7rumjh,/vbook/actions/bookingconfirmation,1,akl,wlg,domestic,27
3484943513480641176,1485861422,20170201,ei6buh,/vbook/actions/bookingconfirmation,30,wlg,akl,domestic,0
3485713309062153834,1485938746,20170201,5x662h,/vbook/actions/mobi/bookingconfirmation,1,chc,dud,domestic,81
3485953200182991396,1485865585,20170201,uwcuuh,/vbook/actions/bookingconfirmation,59,akl,dud,domestic,0
3486118938667049521,1485897504,20170201,7kz5jh,/vbook/actions/bookingconfirmation,87,akl,nan,pacific,201
3488966347305334257,1485915290,20170201,annpbh,/vbook/actions/bookingconfirmation,55,bhe,akl,domestic,271
3488966347305334257,1485915290,20170201,u4yz6h,/vbook/actions/bookingconfirmation,104,wlg,bhe,domestic,279
3488966347305334257,1485915290,20170201,4bkgyh,/vbook/actions/bookingconfirmation,163,syd,wlg,tasman,278
3489090252886305922,1485901794,20170201,hjkm2h,/vbook/actions/bookingconfirmation,74,akl,wlg,domestic,9
3490628388049156355,1485863173,20170201,2ateyh,/vbook/actions/bookingconfirmation,105,akl,nsn,domestic,50
3494284367288862785,1485901494,20170201,atprhh,/vbook/actions/bookingconfirmation,45,chc,akl,domestic,0
3494511257488222538,1485900019,20170201,d6edqh,/vbook/actions/bookingconfirmation,46,npe,wlg,domestic,2
3494511257488222538,1485924030,20170201,qn2euh,/vbook/actions/bookingconfirmation,58,npl,wlg,domestic,6
3495841086777162838,1485929557,20170201,ultibh,/vbook/actions/mobi/purchasetickets,10,dud,pmr,domestic,140
3496956979352196538,1485945627,20170201,zvcgqh,/vbook/actions/bookingconfirmation,1,akl,wlg,domestic,22
3499553991484842136,1485926907,20170201,fpyssh,/vbook/actions/bookingconfirmation,115,chc,pmr,domestic,20
3499561030966077279,1485870059,20170201,ff8ujh,/vbook/actions/mobi/purchasetickets,44,per,akl,tasman,63
3499985781756008262,1485890819,20170201,hh5nsh,/vbook/actions/bookingconfirmation,69,akl,bne,tasman,28
3500287597699232406,1485927063,20170201,jeddbh,/vbook/actions/bookingconfirmation,64,akl,zqn,domestic,201
3500460929615609334,1485932398,20170201,je6ssh,/vbook/actions/bookingconfirmation,93,wlg,dud,domestic,38
3502152300647998653,1485897340,20170201,7syhuh,/vbook/actions/bookingconfirmation,67,chc,akl,domestic,14
3504490639789855985,1485933498,20170201,2k7zdh,/vbook/actions/bookingconfirmation,43,trg,chc,domestic,9
3504974003960525821,1485935334,20170201,8bwgjh,/vbook/actions/bookingconfirmation,119,hlz,wlg,domestic,3
3506050524687471567,1485935583,20170201,fqyjwh,/vbook/actions/bookingconfirmation,55,nsn,trg,domestic,72
3507547058795704260,1485903168,20170201,irz2dh,/vbook/actions/reservationholdconfirmation,42,akl,syd,tasman,22
3507547058795704260,1485903168,20170201,im5i2h,/vbook/actions/bookingconfirmation,140,akl,syd,tasman,21
3508490418293110877,1485944031,20170201,mzj56h,/vbook/actions/bookingconfirmation,95,ivc,ivc,long haul,196
3511088504120109961,1485936416,20170201,lrmqwh,/vbook/actions/bookingconfirmation,44,akl,dud,domestic,19
3511878859718800771,1485893681,20170201,6gcybh,/vbook/actions/bookingconfirmation,68,chc,wlg,domestic,72
3512063929840603326,1485903890,20170201,6hyp6h,/vbook/actions/bookingconfirmation,51,akl,pmr,domestic,28
3512063929840603326,1485912073,20170201,qrabsh,/vbook/actions/bookingconfirmation,49,akl,pmr,domestic,1
9109633130995663882,1485933810,20170201,zuciyh,/vbook/actions/bookingconfirmation,112,akl,wlg,domestic,7
9111363517480512268,1485924469,20170201,2scanh,/vbook/actions/mobi/review,14,dud,hba,tasman,67
9112737941389709469,1485933492,20170201,4pjxdh,/vbook/actions/bookingconfirmation,13,wlg,wlg,domestic,38
9114025851771507916,1485919628,20170201,ukb4wh,/vbook/actions/mobi/purchasetickets,18,wlg,akl,domestic,58
9115102930757897451,1485930607,20170201,ca4hsh,/vbook/actions/bookingconfirmation,97,akl,tiu,domestic,1
9115311734912377748,1485902810,20170201,ir4iwh,/vbook/actions/mobi/purchasetickets,36,chc,mel,tasman,4
9116569408685589620,1485909824,20170201,fltcyh,/vbook/actions/bookingconfirmation,68,akl,wlg,domestic,36
9116569408685589620,1485909824,20170201,ycqrlh,/vbook/actions/bookingconfirmation,157,akl,wlg,domestic,35
9116569408685589620,1485914523,20170201,anlplh,/vbook/actions/bookingconfirmation,74,akl,wlg,domestic,36
9118331212888343378,1485898578,20170201,37qunh,/vbook/actions/bookingconfirmation,58,akl,npe,domestic,30
9119357615529506791,1485912060,20170201,wylkdh,/vbook/actions/bookingconfirmation,135,wlg,rot,domestic,2
9119653848067140368,1485892372,20170201,2ec68h,/vbook/actions/bookingconfirmation,51,zqn,wlg,domestic,3
9119943715394078358,1485903872,20170201,u2uklh,/vbook/actions/bookingconfirmation,56,wlg,akl,domestic,15
9121571276086902555,1485897500,20170201,hiyabh,/vbook/actions/bookingconfirmation,55,chc,dud,domestic,3
9123158257912860742,1485918281,20170201,2inkqh,/vbook/actions/bookingconfirmation,48,akl,wlg,domestic,7
9123466048129233481,1485916645,20170201,qmetwh,/vbook/actions/bookingconfirmation,86,gis,akl,domestic,28
9124949607167615163,1485889724,20170201,fihuuh,/vbook/actions/bookingconfirmation,110,pmr,akl,domestic,36
9125230790086597017,1485937049,20170201,2lfenh,/vbook/actions/bookingconfirmation,63,pmr,akl,domestic,1
9130238296729557060,1485893298,20170201,2dgnhh,/vbook/actions/bookingconfirmation,48,akl,chc,domestic,21
9131515018730192281,1485899873,20170201,atrihh,/vbook/actions/bookingconfirmation,126,nsn,wlg,domestic,10
9132358984091099593,1485919354,20170201,4b3rbh,/vbook/actions/mobi/bookingconfirmation,22,zqn,chc,domestic,14
9132358984091099593,1485919354,20170201,5v2d4h,/vbook/actions/mobi/bookingconfirmation,38,akl,chc,domestic,14
9133203387530876413,1485900207,20170201,em4fhh,/vbook/actions/mobi/review,11,chc,dud,domestic,30
9133639696073958439,1485941741,20170201,mzbd2h,/vbook/actions/mobi/purchasetickets,22,akl,tiu,domestic,45
9134431812625466811,1485935333,20170201,3w6k2h,/vbook/actions/bookingconfirmation,88,chc,mel,tasman,9
