file_batch,ad_date,program_name,hourly_bucket,ad_content_type,device_category_web_traffic,channel_grouping_web_traffic,pre_intervention_start,pre_intervention_end,post_intervention_start,post_intervention_end,p_value,expected_avg_sessions,predicted_avg_sessions,effect,standard_deviation
6,24/6/2019 19:12,DSTAR,Entertainment,Prime Time,desktop,Direct,2019-01-01 00:00:00,2019-06-24 19:10:00,2019-06-24 21:05:00,2019-06-29 23:00:00,0.48031496062992124,1250.860655737705,1792.2022330006414,-0.30205384598622065,4.125016740987447
6,24/6/2019 19:12,DSTAR,Entertainment,Prime Time,desktop,Organic Search,2019-01-01 00:00:00,2019-06-24 19:10:00,2019-06-24 21:05:00,2019-06-29 23:00:00,0.4140625,6416.262295081967,8492.428599674693,-0.24447262408214476,1.5656629294150883
6,24/6/2019 19:12,DSTAR,Entertainment,Prime Time,mobile,Direct,2019-01-01 00:00:00,2019-06-24 19:10:00,2019-06-24 21:05:00,2019-06-29 23:00:00,0.4126984126984127,6325.786885245901,8325.710873648864,-0.24021059808031348,1.879617091283308
6,24/6/2019 19:12,DSTAR,Entertainment,Prime Time,mobile,Organic Search,2019-01-01 00:00:00,2019-06-24 19:10:00,2019-06-24 21:05:00,2019-06-29 23:00:00,0.3181818181818182,15340.754098360656,16647.250095092033,-0.07848118994238935,0.16922109409282593
6,24/6/2019 19:12,DSTAR,Entertainment,Prime Time,tablet,Direct,2019-01-01 00:00:00,2019-06-24 19:10:00,2019-06-24 21:05:00,2019-06-29 23:00:00,0.3815028901734104,196.2622950819672,190.2514773388988,0.03159406606005592,0.10499022666866009
6,24/6/2019 19:12,DSTAR,Entertainment,Prime Time,tablet,Organic Search,2019-01-01 00:00:00,2019-06-24 19:10:00,2019-06-24 21:05:00,2019-06-29 23:00:00,0.33,445.77868852459017,427.8208591525554,0.041975114087719714,0.12888050461901693
6,25/6/2019 5:36,FOKUSPAGI,News,Midnight,desktop,Direct,2019-01-01 00:00:00,2019-06-25 05:35:00,2019-06-25 05:40:00,2019-06-30 23:00:00,0.4763779527559055,1257.9202898550725,405.6290180103527,2.101159517692512,19.795208480423224
6,25/6/2019 5:36,FOKUSPAGI,News,Midnight,desktop,Organic Search,2019-01-01 00:00:00,2019-06-25 05:35:00,2019-06-25 05:40:00,2019-06-30 23:00:00,0.421875,6477.239130434783,2353.0124394894947,1.752743258696955,6.051474593324644
6,25/6/2019 5:36,FOKUSPAGI,News,Midnight,mobile,Direct,2019-01-01 00:00:00,2019-06-25 05:35:00,2019-06-25 05:40:00,2019-06-30 23:00:00,0.4444444444444444,6837.978260869565,3331.4106878987354,1.0525773918263357,5.092389709592476
6,25/6/2019 5:36,FOKUSPAGI,News,Midnight,mobile,Organic Search,2019-01-01 00:00:00,2019-06-25 05:35:00,2019-06-25 05:40:00,2019-06-30 23:00:00,0.38181818181818183,16985.057971014492,16161.053762075508,0.05098703469897748,0.1982629018035682
6,25/6/2019 5:36,FOKUSPAGI,News,Midnight,tablet,Direct,2019-01-01 00:00:00,2019-06-25 05:35:00,2019-06-25 05:40:00,2019-06-30 23:00:00,0.37283236994219654,200.84782608695653,192.71725596723635,0.04218911315913737,0.10674114522524579
6,25/6/2019 5:36,FOKUSPAGI,News,Midnight,tablet,Organic Search,2019-01-01 00:00:00,2019-06-25 05:35:00,2019-06-25 05:40:00,2019-06-30 23:00:00,0.3,459.40579710144925,435.78830944904837,0.05419486282745774,0.16173727949794395
6,25/6/2019 7:57,PINTUBERKAH,Entertainment,Morning,desktop,Direct,2019-01-01 00:00:00,2019-06-25 07:55:00,2019-06-25 09:30:00,2019-06-30 23:00:00,0.4921259842519685,1271.0597014925372,861.8618306063064,0.4747836095704186,9.418921930998595
6,25/6/2019 7:57,PINTUBERKAH,Entertainment,Morning,desktop,Organic Search,2019-01-01 00:00:00,2019-06-25 07:55:00,2019-06-25 09:30:00,2019-06-30 23:00:00,0.4609375,6576.828358208955,3939.5263261171294,0.6694464800521336,3.6760599821759588
6,25/6/2019 7:57,PINTUBERKAH,Entertainment,Morning,mobile,Direct,2019-01-01 00:00:00,2019-06-25 07:55:00,2019-06-25 09:30:00,2019-06-30 23:00:00,0.48412698412698413,6946.149253731343,4693.06564734024,0.48008780948291707,3.6734132627184573
6,25/6/2019 7:57,PINTUBERKAH,Entertainment,Morning,mobile,Organic Search,2019-01-01 00:00:00,2019-06-25 07:55:00,2019-06-25 09:30:00,2019-06-30 23:00:00,0.32727272727272727,17295.082089552237,15629.15130076122,0.1065912509727818,0.2019620250451084
6,25/6/2019 7:57,PINTUBERKAH,Entertainment,Morning,tablet,Direct,2019-01-01 00:00:00,2019-06-25 07:55:00,2019-06-25 09:30:00,2019-06-30 23:00:00,0.29190751445086704,203.06716417910448,190.53174297034457,0.06579177313625371,0.10978396190863979
6,25/6/2019 7:57,PINTUBERKAH,Entertainment,Morning,tablet,Organic Search,2019-01-01 00:00:00,2019-06-25 07:55:00,2019-06-25 09:30:00,2019-06-30 23:00:00,0.27,465.7014925373134,426.27067205360737,0.09250183760882161,0.15451548472403978
